Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-14.3600421883,28.415,7.54548983468,102.448333333,224.758206344
-14.2619421883,31.415,7.64966064886,105.448333333,224.980640684
-14.1638421883,-39.585,7.75600375666,155.448333333,225.129205094
-14.0657421883,-7.585,7.86457998187,318.448333333,225.21356857
-13.9676421883,3.415,7.97545229222,655.448333333,225.271670122
-13.8695421883,13.415,8.08868589063,802.448333333,225.32119795
-13.7714421883,51.415,8.20434831115,594.448333333,225.367728886
-13.6733421883,8.415,8.32250951971,1436.44833333,225.413272538
-13.5752421883,7.415,8.44324201994,2476.44833333,225.45874774
-13.4771421883,48.415,8.56662096442,725.448333333,225.50465774
-13.3791421883,18.415,8.69259431175,250.448333333,225.551309117
-13.2810421883,54.415,8.82149988786,369.448333333,225.598933957
-13.1829421883,33.415,8.95329437355,225.448333333,225.647690244
-13.0848421883,-5.585,9.08806474659,106.448333333,225.697713238
-12.9867421883,-6.585,9.22590128305,54.4483333333,225.749121039
-12.8886421883,21.415,9.36689770854,47.4483333333,225.802022185
-12.7906421883,18.415,9.51100261764,43.4483333333,225.856512104
-12.6925421883,30.415,9.65861112571,88.4483333333,225.912709709
-12.5944421883,2.415,9.80968292561,181.448333333,225.970709821
-12.4963421883,24.415,9.96432722017,225.448333333,226.030618069
-12.3983421883,25.415,10.1224942374,73.4483333333,226.092534945
-12.3002421883,-57.585,10.2846247529,51.4483333333,226.156593653
-12.2021421883,15.415,10.4506821209,63.4483333333,226.222906903
-12.1041421883,-4.585,10.6206186761,30.4483333333,226.291594392
-12.0060421883,-23.585,10.7949142089,25.4483333333,226.362814377
-11.9080421883,37.415,10.9733516686,45.4483333333,226.436696467
-11.8099421883,21.415,11.1564394674,46.4483333333,226.513423279
-11.7118421883,25.415,11.3441482027,51.4483333333,226.593161457
-11.6138421883,48.415,11.5364360025,41.4483333333,226.676093581
-11.5157421883,30.415,11.7338586894,38.4483333333,226.762455547
-11.4177421883,-8.585,11.9361839858,25.4483333333,226.852462251
-11.3196421883,-14.585,12.1440026634,20.4483333333,226.946402506
-11.2216421883,7.415,12.3570764525,9.44833333333,227.044551657
-11.1236421883,39.415,12.5758079366,31.4483333333,227.14726101
-11.0255421883,66.415,12.8006314572,35.4483333333,227.254931929
-10.9275421883,36.415,13.031300052,61.4483333333,227.367985897
-10.8294421883,33.415,13.268505784,72.4483333333,227.486968277
-10.7314421883,8.415,13.5119962096,113.448333333,227.612458144
-10.6334421883,4.415,13.7622515412,463.448333333,227.745182172
