-3.9206,1.6144,1.2036e+18
-3.9048,1.6372,1.1942e+18
-3.8889,1.7154,1.1849e+18
-3.873,1.7118,1.1758e+18
-3.8571,1.6544,1.1668e+18
-3.8413,1.6035,1.1581e+18
-3.8254,1.5695,1.1497e+18
-3.8095,1.5946,1.1415e+18
-3.7937,1.6051,1.1335e+18
-3.7778,1.5481,1.126e+18
-3.7619,1.484,1.1187e+18
-3.746,1.4976,1.1116e+18
-3.7302,1.5369,1.1047e+18
-3.7143,1.5445,1.0979e+18
-3.6984,1.5493,1.0914e+18
-3.6825,1.4875,1.0853e+18
-3.6667,1.4303,1.0793e+18
-3.6508,1.4149,1.0735e+18
-3.6349,1.4725,1.0679e+18
-3.619,1.5091,1.0624e+18
-3.6032,1.4971,1.057e+18
-3.5873,1.4427,1.0517e+18
-3.5714,1.3959,1.0464e+18
-3.5556,1.3547,1.0412e+18
-3.5397,1.3472,1.036e+18
-3.5238,1.4099,1.031e+18
-3.5079,1.4509,1.026e+18
-3.4921,1.4274,1.0211e+18
-3.4762,1.4028,1.0164e+18
-3.4603,1.3581,1.0119e+18
-3.4444,1.2923,1.0075e+18
-3.4286,1.3057,1.0033e+18
-3.4127,1.3591,9.9911e+17
-3.3968,1.4113,9.9503e+17
-3.381,1.4117,9.91e+17
-3.3651,1.3313,9.8703e+17
-3.3492,1.2716,9.8305e+17
-3.3333,1.2866,9.791e+17
-3.3175,1.3258,9.7515e+17
-3.3016,1.3785,9.7128e+17
-3.2857,1.4383,9.6749e+17
-3.2698,1.4432,9.6369e+17
-3.254,1.4378,9.5971e+17
-3.2381,1.3578,9.5566e+17
-3.2222,1.3048,9.5172e+17
-3.2063,1.3083,9.4797e+17
-3.1905,1.3877,9.4449e+17
-3.1746,1.4223,9.4114e+17
-3.1587,1.4835,9.3781e+17
-3.1429,1.4827,9.3449e+17
-3.127,1.4083,9.3124e+17
-3.1111,1.3754,9.2802e+17
-3.0952,1.3713,9.2483e+17
-3.0794,1.426,9.216e+17
-3.0635,1.5002,9.1828e+17
-3.0476,1.5181,9.15e+17
-3.0317,1.5353,9.1186e+17
-3.0159,1.4764,9.0878e+17
-3,1.4548,9.0558e+17
-2.9841,1.459,9.0237e+17
-2.9683,1.5201,8.9922e+17
-2.9524,1.6084,8.9618e+17
-2.9365,1.641,8.9324e+17
-2.9206,1.654,8.9035e+17
-2.9048,1.6912,8.8736e+17
-2.8889,1.6825,8.8429e+17
-2.873,1.6826,8.812e+17
-2.8571,1.7348,8.7816e+17
-2.8413,1.7796,8.7511e+17
-2.8254,1.8298,8.7213e+17
-2.8095,1.8218,8.6923e+17
-2.7937,1.8313,8.6634e+17
-2.7778,1.8336,8.6352e+17
-2.7619,1.8417,8.6074e+17
-2.746,1.8515,8.5786e+17
-2.7302,1.8159,8.5482e+17
-2.7143,1.823,8.5165e+17
-2.6984,1.8752,8.4853e+17
-2.6825,1.8621,8.4554e+17
-2.6667,1.8393,8.4272e+17
-2.6508,1.8085,8.3998e+17
-2.6349,1.7967,8.3726e+17
-2.619,1.8398,8.3449e+17
-2.6032,1.8798,8.3167e+17
-2.5873,1.9595,8.2886e+17
-2.5714,1.9876,8.2607e+17
-2.5556,1.9631,8.2343e+17
-2.5397,1.9437,8.208e+17
-2.5238,1.8814,8.1819e+17
-2.5079,1.8027,8.1552e+17
-2.4921,1.7689,8.1278e+17
-2.4762,1.7825,8.0999e+17
-2.4603,1.7837,8.0718e+17
-2.4444,1.7895,8.0447e+17
-2.4286,1.8054,8.0189e+17
-2.4127,1.8167,7.9937e+17
-2.3968,1.8008,7.9683e+17
-2.381,1.7507,7.9429e+17
-2.3651,1.7075,7.9182e+17
-2.3492,1.6817,7.8937e+17
-2.3333,1.7182,7.8695e+17
