Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-8.56911531241,3160.12333333,8.80761837136,93.5133333333,146.2157642
-8.47111531241,3305.12333333,9.01266443958,114.513333333,146.28553962
-8.37321531241,2879.12333333,9.22473568899,139.513333333,146.358012216
-8.27521531241,2728.12333333,9.44461054914,121.513333333,146.433300511
-8.17731531241,2555.12333333,9.67220580126,102.513333333,146.511580371
-8.07931531241,2377.12333333,9.90837474243,150.513333333,146.592987198
-7.98141531241,2468.12333333,10.1530471724,181.513333333,146.67771988
-7.88351531241,2585.12333333,10.4068969257,194.513333333,146.765950462
-7.78551531241,2848.12333333,10.670663092,201.513333333,146.857861845
-7.68761531241,3518.12333333,10.9443024745,174.513333333,146.953694528
-7.58971531241,4066.12333333,11.228606053,127.513333333,147.05365945
-7.49171531241,4332.12333333,11.5244431538,90.5133333333,147.157981874
-7.39381531241,3927.12333333,11.8318095325,145.513333333,147.266955489
-7.29591531241,3386.12333333,12.1516407456,109.513333333,147.380844728
-7.19801531241,2873.12333333,12.4846201383,70.5133333333,147.499952158
-7.10001531241,2192.12333333,12.8318401994,99.5133333333,147.624583786
-7.00211531241,2866.12333333,13.1933753456,115.513333333,147.755129902
-6.90421531241,3497.12333333,13.5704109829,145.513333333,147.891951441
-6.80631531241,3019.12333333,13.9638462224,142.513333333,148.035459906
-6.70841531241,2743.12333333,14.374646339,175.513333333,148.186100568
-6.61041531241,2506.12333333,14.8042968934,172.513333333,148.344330638
-6.51251531241,2697.12333333,15.2530380664,178.513333333,148.51072086
-6.41461531241,2984.12333333,15.7225007368,146.513333333,148.68581724
-6.31671531241,2816.12333333,16.2139809441,135.513333333,148.870242944
-6.21881531241,2636.12333333,16.7288776875,158.513333333,149.064679156
-6.12091531241,2305.12333333,17.2687029029,201.513333333,149.269869022
-6.02301531241,2220.12333333,17.8350925844,162.513333333,149.48662414
-5.92511531241,2753.12333333,18.4298192076,161.513333333,149.715834158
-5.82721531241,3247.12333333,19.054805627,217.513333333,149.958478187
-5.72931531241,3163.12333333,19.7121406551,201.513333333,150.215634761
-5.63141531241,3254.12333333,20.4040965574,153.513333333,150.488491727
-5.53351531241,3389.12333333,21.1331487379,193.513333333,150.778360666
-5.43561531241,3379.12333333,21.9019979354,203.513333333,151.086695412
-5.33771531241,3698.12333333,22.7135953017,219.513333333,151.415110343
-5.23991531241,3932.12333333,23.5702701951,168.513333333,151.765450325
-5.14201531241,3865.12333333,24.4773123247,199.513333333,152.139621837
-5.04411531241,3702.12333333,25.4377581289,211.513333333,152.5399106
-4.94621531241,3611.12333333,26.4558853975,234.513333333,152.968826437
-4.84831531241,3303.12333333,27.5364091674,249.513333333,153.429192425
-4.75051531241,2515.12333333,28.6833273405,171.513333333,153.924259816
-4.65261531241,2333.12333333,29.904742167,159.513333333,154.457499478
-4.55471531241,3067.12333333,31.2059052556,135.513333333,155.03305222
-4.45681531241,3628.12333333,32.5939167838,173.513333333,155.65556295
-4.35901531241,3444.12333333,34.0751196418,117.513333333,156.330434276
-4.26111531241,3175.12333333,35.661365242,130.513333333,157.063603665
-4.16321531241,2926.12333333,37.3610718294,92.5133333333,157.862181322
-4.06541531241,2969.12333333,39.1833994987,140.513333333,158.734405265
-3.96751531241,3086.12333333,41.1445446116,128.513333333,159.689525006
-3.86971531241,3002.12333333,43.2545534373,193.513333333,160.738808605
-3.77181531241,3000.12333333,45.5336686326,184.513333333,161.895001674
-3.67401531241,3199.12333333,47.9952949598,242.513333333,163.173710746
-3.57611531241,3613.12333333,50.6650703192,229.513333333,164.592913098
-3.47821531241,4180.12333333,53.5641512704,171.513333333,166.174607295
-3.38041531241,3261.12333333,56.7162288456,173.513333333,167.945388916
-3.28261531241,2676.12333333,60.1552152188,165.513333333,169.937264168
-3.18471531241,2960.12333333,63.9210772763,169.513333333,172.189501782
-3.08691531241,3319.12333333,68.0479177063,213.513333333,174.751517508
-2.98901531241,3584.12333333,72.5930326184,186.513333333,177.684377668
-2.89121531241,3925.12333333,77.6043758455,179.513333333,181.066915006
-2.79331531241,4073.12333333,83.1597964316,193.513333333,184.99975224
-2.69551531241,3789.12333333,89.3280198281,193.513333333,189.61652144
-2.59771531241,4177.12333333,96.2099110083,171.513333333,195.09542602
-2.49981531241,4618.12333333,103.928501751,180.513333333,201.681813828
-2.40201531241,4680.12333333,112.606872269,179.513333333,209.725914464
-2.30421531241,4312.12333333,122.421570373,181.513333333,219.742957774
-2.20641531241,3878.12333333,133.580425341,278.513333333,232.527124985
-2.10851531241,3675.12333333,146.355130928,386.513333333,249.354883598
-2.01071531241,3701.12333333,161.042653063,378.513333333,272.35712308
-1.91291531241,4001.12333333,178.063833603,342.513333333,305.152428509
-1.81511531241,3778.12333333,197.942177811,333.513333333,353.848848364
-1.71731531241,3688.12333333,221.357199132,374.513333333,428.320243205
-1.61951531241,3234.12333333,249.20395452,392.513333333,543.107826984
-1.52161531241,3126.12333333,282.718622357,555.513333333,716.212153805
-1.42381531241,3307.12333333,323.469556931,844.513333333,963.249938222
-1.32601531241,3839.12333333,373.767324144,1360.51333333,1286.26189599
-1.22821531241,4259.12333333,436.867220671,1735.51333333,1662.73348842
