Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-14.5183835328,5.84,10.0036565278,77.4683333333,690.224917457
-14.4201835328,11.84,10.1403671767,87.4683333333,696.439492235
-14.3220835328,17.84,10.2797559819,87.4683333333,701.594507845
-14.2239835328,-13.16,10.4220387015,130.468333333,704.329090723
-14.1258835328,19.84,10.5672960022,113.468333333,705.719644027
-14.0277835328,7.84,10.7156113815,124.468333333,706.541883462
-13.9296835328,18.84,10.8670712869,219.468333333,707.10068895
-13.8315835328,-16.16,11.0217652426,425.468333333,707.52082877
-13.7334835328,-9.16,11.1797859815,813.468333333,707.86125198
-13.6353835328,61.84,11.3412295842,970.468333333,708.152933936
-13.5372835328,24.84,11.506195625,1577.46833333,708.413539612
-13.4391835328,31.84,11.6747873259,1403.46833333,708.65364418
-13.3411835328,17.84,11.8469341176,2758.46833333,708.879756112
-13.2430835328,58.84,12.0230982333,2458.46833333,709.096055095
-13.1449835328,10.84,12.2032210969,1402.46833333,709.305337864
-13.0468835328,15.84,12.3874222168,678.468333333,709.509647312
-12.9487835328,2.84,12.5758256455,271.468333333,709.710565341
-12.8506835328,16.84,12.7685601886,228.468333333,709.90936537
-12.7526835328,63.84,12.9655562855,215.468333333,710.107087177
-12.6545835328,11.84,13.1673548323,424.468333333,710.304626879
-12.5564835328,9.84,13.3739015396,582.468333333,710.502710811
-12.4583835328,25.84,13.5853465444,275.468333333,710.701972499
-12.3603835328,59.84,13.8016226442,317.468333333,710.902948061
-12.2622835328,51.84,14.0233334655,804.468333333,711.106150516
-12.1641835328,37.84,14.2504298769,1630.46833333,711.31199897
-12.0661835328,69.84,14.4828476723,1877.46833333,711.520867529
-11.9680835328,62.84,14.721244102,2479.46833333,711.733148273
-11.8700835328,51.84,14.965323394,1338.46833333,711.949145792
-11.7719835328,27.84,15.2157821505,516.468333333,712.169211885
-11.6738835328,32.84,15.4725813958,266.468333333,712.393633808
-11.5758835328,2.84,15.7356650959,223.468333333,712.622689557
-11.4777835328,43.84,16.0057950592,281.468333333,712.856704735
-11.3797835328,41.84,16.2826548761,684.468333333,713.095927771
-11.2816835328,65.84,16.5670544397,1769.46833333,713.340679709
-11.1836835328,50.84,16.8586692409,1932.46833333,713.591208336
-11.0856835328,52.84,17.158051868,831.468333333,713.847819361
-10.9875835328,97.84,17.4657985846,328.468333333,714.110825371
-10.8895835328,53.84,17.7815731648,262.468333333,714.380481746
-10.7914835328,11.84,18.1063249371,414.468333333,714.657135907
-10.6934835328,38.84,18.439710317,1201.46833333,714.941057156
-10.5954835328,88.84,18.7823889036,1774.46833333,715.232589438
-10.4973835328,40.84,19.1350738908,546.468333333,715.53208827
-10.3993835328,61.84,19.497411706,219.468333333,715.839851119
-10.3013835328,85.84,19.8701394926,147.468333333,716.156259376
-10.2032835328,89.84,20.2540553183,172.468333333,716.481711752
-10.1052835328,61.84,20.6487974579,376.468333333,716.816545115
-10.0072835328,83.84,21.0551930133,546.468333333,717.161190381
-9.90928353282,41.84,21.4737052399,258.468333333,717.516071356
-9.81128353282,63.84,21.9048206436,159.468333333,717.881630069
-9.71318353282,88.84,22.3495105694,121.468333333,718.258359297
-9.61518353282,74.84,22.8074062342,122.468333333,718.646686485
-9.51718353282,5.84,23.2795193475,116.468333333,719.047152472
-9.41918353282,78.84,23.7664446495,131.468333333,719.460293939
-9.32118353282,72.84,24.2688083072,176.468333333,719.886674001
-9.22318353282,47.84,24.7872699283,363.468333333,720.326885281
-9.12518353282,64.84,25.3225247281,541.468333333,720.781552897
-9.02718353282,38.84,25.8753058606,971.468333333,721.251336654
-8.92918353282,60.84,26.4463869305,2663.46833333,721.736933647
-8.83118353282,96.84,27.0365847011,1644.46833333,722.239080125
-8.73318353282,105.84,27.6467620166,507.468333333,722.758553615
-8.63518353282,123.84,28.277830957,315.468333333,723.296176121
-8.53718353282,112.84,28.9307562485,282.468333333,723.85281829
-8.43918353282,70.84,29.6065589526,216.468333333,724.429403555
-8.34118353282,140.84,30.3063204603,300.468333333,725.026911809
-8.24318353282,75.84,31.0311868207,522.468333333,725.646383351
-8.14518353282,120.84,31.7823734361,1429.46833333,726.288923483
-8.04728353282,121.84,32.5603609392,2184.46833333,726.955654725
-7.94928353282,158.84,33.3681073191,1384.46833333,727.647930114
-7.85128353282,166.84,34.206287986,555.468333333,728.367027438
-7.75328353282,174.84,35.07645129,705.468333333,729.114363789
-7.65528353282,164.84,35.980245313,1283.46833333,729.891452598
-7.55738353282,178.84,36.9184486697,696.468333333,730.699846885
-7.45938353282,166.84,37.8948480588,632.468333333,731.541399056
-7.36138353282,229.84,38.9105004818,636.468333333,732.417895052
-7.26348353282,189.84,39.9664380555,373.468333333,733.33124374
-7.16548353282,293.84,41.067095337,264.468333333,734.283710337
-7.06748353282,293.84,42.2138535716,251.468333333,735.277504038
-6.96958353282,221.84,43.4080780918,243.468333333,736.314992674
-6.87158353282,315.84,44.6550045526,320.468333333,737.398969892
-6.77358353282,352.84,45.9564405427,469.468333333,738.532192981
-6.67568353282,319.84,47.314192643,1125.46833333,739.717629339
-6.57768353282,267.84,48.7344975358,1741.46833333,740.958764837
-6.47978353282,288.84,50.2181781755,1183.46833333,742.258980728
-6.38178353282,392.84,51.7722803231,1643.46833333,743.622339476
-6.28388353282,419.84,53.3979564934,1162.46833333,745.052822583
-6.18588353282,408.84,55.1032033082,1687.46833333,746.555193857
-6.08798353282,420.84,56.8895884162,1995.46833333,748.134169549
-5.98998353282,443.84,58.7662324348,859.468333333,749.795369728
-5.89208353282,466.84,60.7352270957,537.468333333,751.544412159
-5.79418353282,432.84,62.8048620998,750.468333333,753.38782838
-5.69618353282,505.84,64.984396187,1512.46833333,755.33277961
-5.59828353282,473.84,67.2769806503,1198.46833333,757.386663216
-5.50038353282,550.84,69.6930581182,1107.46833333,759.558064392
-5.40238353282,466.84,72.2443341255,748.468333333,761.856440388
-5.30448353282,504.84,74.9354829933,459.468333333,764.291683155
-5.20658353282,537.84,77.7798485747,592.468333333,766.875268019
-5.10868353282,564.84,80.7892861447,1458.46833333,769.619718842
-5.01068353282,583.84,83.9801719006,2914.46833333,772.539152596
-4.91278353282,614.84,87.3603415701,1464.46833333,775.648616324
-4.81488353282,580.84,90.9487660478,618.468333333,778.965583579
-4.71698353282,636.84,94.7629106056,449.468333333,782.50936561
-4.61908353282,596.84,98.8221105074,468.468333333,786.301618794
-4.52108353282,636.84,103.15237917,598.468333333,790.367006973
-4.42318353282,637.84,107.768751155,1038.46833333,794.732466708
-4.32528353282,633.84,112.702087172,1471.46833333,799.429452377
-4.22738353282,587.84,117.982081955,860.468333333,804.493411333
-4.12948353282,631.84,123.64199078,540.468333333,809.96481264
-4.03158353282,663.84,129.71915432,535.468333333,815.890063113
-3.93368353282,703.84,136.255616025,538.468333333,822.322610807
-3.83578353282,789.84,143.29885115,784.468333333,829.324306499
-3.73788353282,725.84,150.902631124,1888.46833333,836.967108238
-3.63998353282,741.84,159.128052738,2694.46833333,845.335229399
-3.54208353282,717.84,168.04476908,2180.46833333,854.527858567
-3.44418353282,756.84,177.732468717,2472.46833333,864.662639922
-3.34628353282,905.84,188.28266201,2694.46833333,875.880207103
-3.24838353282,820.84,199.800849696,1449.46833333,888.350192753
-3.15058353282,826.84,212.395688753,1033.46833333,902.278446877
-3.05268353282,885.84,226.23482964,1240.46833333,917.921594394
-2.95478353282,918.84,241.471877487,1733.46833333,935.597784149
-2.85688353282,957.84,258.301630618,2687.46833333,955.713036324
-2.75898353282,968.84,276.954036884,2494.46833333,978.795056233
-2.66118353282,999.84,297.679719805,1402.46833333,1005.5453194
-2.56328353282,1095.84,320.846832153,1627.46833333,1036.92975
-2.46538353282,1108.84,346.827277846,1107.46833333,1074.30798621
-2.36748353282,1134.84,376.095672909,1199.46833333,1119.66327239
-2.26968353282,1139.84,409.195048248,1696.46833333,1175.96526566
-2.17178353282,1207.84,446.904798979,1478.46833333,1247.77229632
-2.07388353282,1339.84,490.077268604,1819.46833333,1342.16085752
-1.97608353282,1453.84,539.76608136,2394.46833333,1470.18668682
-1.87818353282,1539.84,597.475631256,1891.46833333,1649.0648881
-1.78038353282,1610.84,664.883759867,1420.46833333,1905.17296672
-1.68248353282,1757.84,744.463578404,1637.46833333,2277.84818832
-1.58468353282,1969.84,839.125225136,2290.46833333,2822.9629713
-1.48678353282,2088.84,953.182446621,3875.46833333,3613.7150201
-1.38888353282,2289.84,1092.17001172,5407.46833333,4732.77339495
-1.29108353282,2466.84,1263.72126768,6940.46833333,6247.49021415
-1.19328353282,2651.84,1479.08746567,8133.46833333,8164.76228816
-1.09538353282,2851.84,1754.87430586,10613.4683333,10381.825688
-0.997583532822,3085.84,2115.15717272,13580.4683333,12675.6002953
-0.899683532822,3395.84,2599.39119622,15566.4683333,14768.7457665
-0.801883532822,3867.84,3270.05229229,14751.4683333,16445.2524785
-0.703983532822,4373.84,4238.71175667,16632.4683333,17630.5154989
-0.606183532822,5463.84,5707.71147593,16051.4683333,18386.6400465
-0.508383532823,7434.84,8091.32585618,15122.4683333,18858.0874603
-0.410483532821,11843.84,12331.8408525,17681.4683333,19231.9732059
-0.312683532822,22251.84,20853.8223436,21787.4683333,19768.6500084
-0.214883532822,44478.84,40463.9735338,26039.4683333,20983.3568205
-0.117083532822,82850.84,82726.6338396,24060.4683333,23674.8456295
-0.0191835328217,121073.84,124935.204746,24680.4683333,26389.4255152
0.0786164671784,108699.84,103320.273629,24698.4683333,24983.7659562
0.176416467177,52794.84,54039.0176772,21802.4683333,21812.8284225
0.274216467178,20764.84,26614.2066316,20823.4683333,20090.3636185
0.372016467178,10619.84,14941.3423183,19961.4683333,19391.169623
0.469816467179,7237.84,9456.46272312,19499.4683333,19044.2644871
0.567716467178,5655.84,6501.39637713,18189.4683333,18736.3214172
0.665516467177,4951.84,4740.38502101,16942.4683333,18274.7388984
0.763316467177,4383.84,3607.65756684,17981.4683333,17495.856032
0.861116467178,3835.84,2836.82062284,17374.4683333,16269.1547717
0.958916467178,3569.84,2288.82310614,16462.4683333,14548.3568517
1.05671646718,3283.84,1885.43752533,14929.4683333,12426.2139939
1.15451646718,3071.84,1579.95076318,10719.4683333,10130.9939669
1.25231646718,2750.84,1343.08311464,6373.46833333,7939.60235768
1.35011646718,2621.84,1155.73051765,3624.46833333,6064.22837316
