Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
0.574842919458,608.516666667,637.74836394,976.501666667,901.19477584
0.672542919459,335.516666667,441.340939611,1030.50166667,815.859468412
0.770342919458,199.516666667,324.163975334,914.501666667,760.126204897
0.868142919458,174.516666667,249.04955497,849.501666667,719.852124685
0.965842919458,154.516666667,197.858757686,833.501666667,688.152371819
1.06364291946,158.516666667,161.196612591,646.501666667,661.481622029
1.16134291946,72.5166666667,134.018233853,492.501666667,637.959983106
1.25914291946,105.516666667,113.236337847,418.501666667,616.461271379
1.35684291946,122.516666667,97.0008994958,637.501666667,596.338200382
1.45464291946,121.516666667,84.0401934228,757.501666667,577.170674822
1.55234291946,111.516666667,73.5426603699,644.501666667,558.719850338
1.65014291946,109.516666667,64.9007416092,544.501666667,540.829347926
1.74784291946,111.516666667,57.7128054871,476.501666667,523.424601134
1.84564291946,99.5166666667,51.6566366754,424.501666667,506.463104792
1.94334291946,55.5166666667,46.5153828668,521.501666667,489.942622179
2.04104291946,77.5166666667,42.1084331415,593.501666667,473.873120703
2.13884291946,73.5166666667,38.2981515199,506.501666667,458.277713958
2.23654291946,96.5166666667,34.9875865474,387.501666667,443.190380781
2.33424291946,75.5166666667,32.089839952,363.501666667,428.643058659
2.43204291946,95.5166666667,29.53636191,300.501666667,414.6677299
2.52974291946,73.5166666667,27.2789923947,349.501666667,401.296362382
2.62744291946,67.5166666667,25.2715241638,350.501666667,388.553295359
2.72514291946,47.5166666667,23.4782974559,243.501666667,376.458148141
2.82284291946,79.5166666667,21.8698078467,215.501666667,365.024116818
2.92064291946,51.5166666667,20.4200634767,273.501666667,354.257348119
3.01834291946,66.5166666667,19.1113946447,278.501666667,344.159377213
3.11604291946,71.5166666667,17.9248458396,333.501666667,334.724054783
3.21374291946,68.5166666667,16.8456556893,237.501666667,325.940203778
3.31144291946,65.5166666667,15.86123129,266.501666667,317.791551491
3.40914291946,71.5166666667,14.9607762835,313.501666667,310.25747452
3.50684291946,61.5166666667,14.1349913932,234.501666667,303.313829403
3.60454291946,47.5166666667,13.3758317008,200.501666667,296.933738208
