Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-3.03137156915,918.511666667,309.351441185,942.005,797.800224585
-2.93347156915,928.511666667,330.348821481,1748.005,805.839625483
-2.83557156915,1034.51166667,353.559062466,1488.005,814.866709973
-2.73767156915,1000.51166667,379.304420248,1492.005,825.060918462
-2.63977156915,1111.51166667,407.968027713,1778.005,836.635687203
-2.54197156915,1183.51166667,439.973607213,1784.005,849.850957241
-2.44407156915,1251.51166667,475.938097865,1098.005,865.055101004
-2.34617156915,1274.51166667,516.500070248,1138.005,882.666828491
-2.24827156915,1319.51166667,562.477986269,942.005,903.2548066
-2.15047156915,1369.51166667,614.82370679,838.005,927.538047692
-2.05257156915,1529.51166667,674.898599563,1270.005,956.519644443
-1.95467156915,1597.51166667,744.23019725,1200.005,991.532700879
-1.85687156915,1806.51166667,824.734221189,935.005,1034.43204972
-1.75897156915,2156.51166667,919.151005992,1366.005,1087.94395398
-1.66117156915,2379.51166667,1030.64009819,1373.005,1156.11203017
-1.56327156915,2515.51166667,1163.8705556,1323.005,1245.11567036
-1.46547156915,2781.51166667,1324.53614998,1928.005,1365.13610073
-1.36757156915,3052.51166667,1521.15463371,2004.005,1533.51717207
-1.26967156915,3361.51166667,1765.05547031,1795.005,1782.92849008
-1.17187156915,3628.51166667,2072.36230777,2014.005,2180.18777028
-1.07407156915,4061.51166667,2467.55546449,3313.005,2884.13338413
-0.976171569151,4500.51166667,2988.27766348,6231.005,4332.56537848
-0.878371569151,5011.51166667,3692.34507316,9896.005,7726.60651431
-0.780471569152,5920.51166667,4679.48095506,14460.005,14620.5205705
-0.682671569152,6906.51166667,6121.2799228,19462.005,20664.4641523
-0.584771569151,8684.51166667,8352.23035487,19623.005,18606.1765575
-0.486971569151,11807.5116667,12064.2339725,14678.005,14251.9461887
-0.389171569152,18110.5116667,18928.823249,10635.005,12070.5743212
-0.291271569151,35153.5116667,33718.5905487,10537.005,11696.4416679
-0.193471569152,76940.5116667,71353.6052029,12822.005,13135.232018
-0.0956715691516,155662.511667,155811.233678,14746.005,17292.4087148
0.00212843084849,214221.511667,218991.49168,21364.005,21482.5320133
0.100028430849,160529.511667,151319.282701,24995.005,21487.809285
0.197828430849,63716.5116667,68790.8984725,20778.005,21502.0957585
0.295628430848,22933.5116667,32748.1722551,18473.005,19476.5091561
0.393428430848,12250.5116667,18519.9546854,12775.005,12403.4906399
0.491228430848,8737.51166667,11855.0353772,7454.005,6534.19733916
0.589028430849,7027.51166667,8231.44624311,4264.005,3882.1903149
0.686928430849,5772.51166667,6045.39569291,3450.005,2715.17017219
0.784728430848,5098.51166667,4628.71325703,2825.005,2110.80551807
0.882528430848,4533.51166667,3657.56745287,2246.005,1752.96227293
0.980328430849,4070.51166667,2962.94307473,2367.005,1520.92515283
1.07812843085,3641.51166667,2448.9918475,2115.005,1360.69928495
1.17592843085,3260.51166667,2058.0694341,1654.005,1244.6753156
1.27372843085,3052.51166667,1753.81732358,1841.005,1157.58471252
1.37152843085,2760.51166667,1512.38172258,1684.005,1090.32403677
1.46932843085,2608.51166667,1317.58578506,1054.005,1037.16289987
1.56712843085,2503.51166667,1158.1445053,824.005,994.332806175
1.66492843085,2182.51166667,1025.99102875,1209.005,959.266648207
1.76262843085,2018.51166667,915.338829033,1369.005,930.158170413
1.86042843085,1857.51166667,821.582005853,1245.005,905.698237124
1.95822843085,1766.51166667,741.52774987,1436.005,884.934060745
2.05602843085,1541.51166667,672.630052213,1550.005,867.146729382
2.15382843085,1448.51166667,612.90795465,945.005,851.774362741
2.25162843085,1437.51166667,560.801466477,655.005,838.396921655
2.34932843085,1274.51166667,515.112459276,775.005,826.68165176
2.44712843085,1298.51166667,474.749420047,968.005,816.355004749
2.54492843085,1168.51166667,438.951525649,611.005,807.205768162
2.64272843085,1162.51166667,407.055369033,421.005,799.060610558
2.74042843085,1102.51166667,378.541455233,418.005,791.77282091
2.83822843085,1081.51166667,352.897285467,398.005,785.225691854
2.93602843085,1005.51166667,329.773573079,456.005,779.321230132
3.03372843085,942.511666667,308.870867849,693.005,773.979364415
3.13152843085,965.511666667,289.875938515,1013.005,769.125623208
3.22932843085,905.511666667,272.580933417,1378.005,764.704825178
3.32702843085,862.511666667,256.804327826,1808.005,760.666508007
3.42482843085,861.511666667,242.344716728,1401.005,756.965618996
3.52252843085,792.511666667,229.085900562,1260.005,753.566705512
3.62032843085,714.511666667,216.874210957,1312.005,750.437399046
3.71802843085,709.511666667,205.624659656,863.005,747.549462663
3.81582843085,718.511666667,195.218030925,687.005,744.87803815
3.91352843085,768.511666667,185.591397722,418.005,742.402575189
4.01132843085,690.511666667,176.650879905,382.005,740.103884185
4.10902843085,645.511666667,168.349394697,410.005,737.96519041
4.20682843085,648.511666667,160.612009809,531.005,735.972325974
4.30452843085,688.511666667,153.40318406,771.005,734.112134424
4.40222843085,626.511666667,146.669037292,573.005,732.37321702
4.50002843085,626.511666667,140.362550969,375.005,730.744448791
4.59772843085,579.511666667,134.460100275,342.005,729.217468245
4.69542843085,604.511666667,128.922289988,566.005,727.783665492
4.79322843085,583.511666667,123.714528139,838.005,726.435135766
4.89092843085,553.511666667,118.820924188,831.005,725.166048281
4.98862843085,557.511666667,114.212041404,833.005,723.969710676
5.08632843085,453.511666667,109.866212502,1144.005,722.840588958
5.18402843085,463.511666667,105.763792804,1035.005,721.774073684
5.28182843085,451.511666667,101.883079583,744.005,720.765203193
5.37952843085,488.511666667,98.2157570776,625.005,719.810186433
5.47722843085,429.511666667,94.7429429104,881.005,718.905041245
5.57492843085,499.511666667,91.4511209393,644.005,718.046306734
5.67262843085,445.511666667,88.3279289935,730.005,717.231118854
5.77032843085,385.511666667,85.3620426317,1199.005,716.456399425
5.86802843085,397.511666667,82.5430723356,972.005,715.719500453
5.96572843085,403.511666667,79.8614723922,971.005,715.017990213
6.06342843085,375.511666667,77.3084599711,612.005,714.34963007
6.16112843085,409.511666667,74.8759431133,309.005,713.712356221
6.25882843085,364.511666667,72.5564565276,273.005,713.10426373
6.35652843085,372.511666667,70.3431042417,311.005,712.523598725
6.45422843085,332.511666667,68.2295082842,500.005,711.96881862
6.55192843085,337.511666667,66.2097626832,1007.005,711.438237758
6.64962843085,319.511666667,64.2783921617,993.005,710.930526619
6.74732843085,268.511666667,62.4303149895,946.005,710.444390667
6.84502843085,332.511666667,60.6608095197,889.005,709.978627783
6.94272843085,314.511666667,58.9654839989,510.005,709.532184413
7.04042843085,322.511666667,57.3402492894,421.005,709.103868668
7.13802843085,241.511666667,55.7828571894,561.005,708.692834289
7.23572843085,243.511666667,54.2865635954,563.005,708.298102148
7.33342843085,223.511666667,52.8496768995,481.005,707.918781209
7.43112843085,254.511666667,51.4690933674,447.005,707.554141444
7.52882843085,211.511666667,50.1419093455,349.005,707.203385353
7.62642843085,173.511666667,48.8666875061,551.005,706.865838222
7.72412843085,153.511666667,47.63826879,435.005,706.540834977
7.82182843085,181.511666667,46.455595259,210.005,706.227733968
7.91942843085,165.511666667,45.317567901,160.005,705.926109832
8.01712843085,71.5116666667,44.2197488026,170.005,705.635135747
8.11482843085,128.511666667,43.1613442349,153.005,705.354517725
8.21242843085,112.511666667,42.1415160345,130.005,705.083742021
8.31012843085,119.511666667,41.1564203302,182.005,704.822266615
8.40772843085,66.5116666667,40.206423162,360.005,704.56974073
8.50542843085,67.5116666667,39.2880193609,433.005,704.325766916
8.60302843085,89.5116666667,38.4016204761,462.005,704.089944592
8.70072843085,79.5116666667,37.5440216675,779.005,703.861852744
8.79832843085,87.5116666667,36.7156684756,820.005,703.641245293
8.89602843085,42.5116666667,35.9136232347,1095.005,703.427747875
8.99362843085,101.511666667,35.138356143,1076.005,703.221035192
9.09132843085,79.5116666667,34.3871679554,1158.005,703.02087075
