Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-14.6026637185,9.54666666667,4.62391024037,9.59,165.096128726
-14.5045637185,6.54666666667,4.68666694356,39.59,168.386254201
-14.4064637185,42.5466666667,4.75070998239,95.59,170.989952522
-14.3082637185,19.5466666667,4.81614207075,346.59,172.459253891
-14.2101637185,-31.4533333333,4.88286659988,376.59,173.296677491
-14.1120637185,47.5466666667,4.95098742238,214.59,173.850867096
-14.0139637185,13.5466666667,5.02054377033,187.59,174.268616751
-13.9158637185,3.54666666667,5.09157626341,101.59,174.613524593
-13.8177637185,-4.45333333333,5.16412696828,63.59,174.916392955
-13.7196637185,12.5466666667,5.23823946079,31.59,175.19375709
-13.6215637185,28.5466666667,5.3139588915,47.59,175.455127017
-13.5234637185,39.5466666667,5.3913320544,18.59,175.706360025
-13.4253637185,74.5466666667,5.47040745928,25.59,175.951279529
-13.3272637185,51.5466666667,5.55123540772,32.59,176.19251769
-13.2292637185,-4.45333333333,5.63378290296,48.59,176.431968452
-13.1311637185,11.5466666667,5.71827249174,94.59,176.67107703
-13.0330637185,29.5466666667,5.80467704281,200.59,176.910954195
-12.9349637185,-29.4533333333,5.8930548662,179.59,177.152500978
-12.8368637185,-12.4533333333,5.98346650834,81.59,177.396464454
-12.7387637185,36.5466666667,6.07597485579,27.59,177.643481927
-12.6407637185,3.54666666667,6.17054761698,30.59,177.894095015
-12.5426637185,14.5466666667,6.26744563948,40.59,178.148810004
-12.4445637185,1.54666666667,6.36664411851,40.59,178.408063219
-12.3464637185,37.5466666667,6.468216454,46.59,178.67226494
-12.2484637185,44.5466666667,6.57213168529,16.59,178.941791914
-12.1503637185,23.5466666667,6.67868126046,26.59,179.217029841
-12.0522637185,-6.45333333333,6.78784309368,37.59,179.498323844
-11.9542637185,51.5466666667,6.89958784876,62.59,179.786012033
-11.8561637185,31.5466666667,7.01423316901,11.59,180.080456844
-11.7581637185,-10.4533333333,7.13163853958,33.59,180.381982473
-11.6600637185,13.5466666667,7.25214084764,4.59,180.690952623
-11.5619637185,-6.45333333333,7.37572328929,40.59,181.00770675
-11.4639637185,26.5466666667,7.50236085588,41.59,181.33259056
-11.3658637185,16.5466666667,7.63242235792,47.59,181.665988986
-11.2678637185,31.5466666667,7.76575766668,43.59,182.008254165
-11.1697637185,6.54666666667,7.90275916131,68.59,182.359794197
-11.0717637185,-18.4533333333,8.04327297592,108.59,182.720984462
-10.9737637185,8.54666666667,8.1875679075,60.59,183.092249999
-10.8756637185,3.54666666667,8.33593413059,53.59,183.474032455
-10.7776637185,37.5466666667,8.48821242944,67.59,183.866754607
-10.6795637185,8.54666666667,8.64486364994,54.59,184.27090879
-10.5815637185,0.546666666669,8.8057252665,78.59,184.686957172
-10.4835637185,-2.45333333333,8.9711188633,140.59,185.11542313
-10.3854637185,21.5466666667,9.14139232247,418.59,185.556855763
-10.2874637185,17.5466666667,9.31637873261,384.59,186.011786929
-10.1894637185,6.54666666667,9.49643801809,147.59,186.480819512
-10.0913637185,19.5466666667,9.68196004613,45.59,186.9645873
-9.99336371845,67.5466666667,9.87277451556,45.59,187.463709234
-9.89536371845,50.5466666667,10.0692859129,26.59,187.978885571
-9.79736371845,-2.45333333333,10.2717232943,37.59,188.5108376
-9.69936371845,12.5466666667,10.4803273443,52.59,189.060325585
-9.60126371845,36.5466666667,10.6955738722,52.59,189.62817066
-9.50326371845,-6.45333333333,10.9172904212,58.59,190.21518561
-9.40526371845,12.5466666667,11.1459731788,62.59,190.822286032
-9.30726371845,59.5466666667,11.3819170578,57.59,191.450421502
-9.20926371845,33.5466666667,11.6254327441,95.59,192.100597035
-9.11126371845,9.54666666667,11.8768477195,132.59,192.773878034
-9.01326371845,66.5466666667,12.1365073634,222.59,193.47139467
-8.91526371845,74.5466666667,12.4047761397,543.59,194.1943469
-8.81726371845,60.5466666667,12.6820388756,335.59,194.94400983
-8.71926371845,109.546666667,12.9687021431,116.59,195.721739528
-8.62126371845,29.5466666667,13.2651957498,100.59,196.528979289
-8.52326371845,37.5466666667,13.571974351,97.59,197.367266446
-8.42526371845,40.5466666667,13.8895191934,61.59,198.238239922
-8.32726371845,104.546666667,14.2183400033,101.59,199.143648533
-8.22926371845,-7.45333333333,14.5589770336,88.59,200.085360246
-8.13126371845,101.546666667,14.912003284,77.59,201.065372397
-8.03326371845,67.5466666667,15.2780269116,76.59,202.085822926
-7.93536371845,29.5466666667,15.6572992537,83.59,203.148970394
-7.83736371845,101.546666667,16.0512810862,110.59,204.257334646
-7.73936371845,89.5466666667,16.4603223299,133.59,205.413521324
-7.64136371845,63.5466666667,16.8852003579,103.59,206.620365699
-7.54336371845,88.5466666667,17.3267433575,144.59,207.880920146
-7.44546371845,66.5466666667,17.7853566494,118.59,209.198434722
-7.34746371845,90.5466666667,18.2629186122,115.59,210.576533917
-7.24946371845,136.546666667,18.759976254,158.59,212.019011716
-7.15156371845,153.546666667,19.2770662731,139.59,213.529969629
-7.05356371845,109.546666667,19.8163950086,134.59,215.113984413
-6.95556371845,138.546666667,20.3786775077,196.59,216.775883322
-6.85766371845,122.546666667,20.9646236192,185.59,218.520907678
-6.75966371845,131.546666667,21.576846783,155.59,220.354912603
-6.66166371845,121.546666667,22.2162836749,185.59,222.284122938
-6.56376371845,154.546666667,22.883874133,182.59,224.31533035
-6.46576371845,167.546666667,23.582742439,160.59,226.45613549
-6.36786371845,159.546666667,24.3133566096,157.59,228.714624355
-6.26986371845,164.546666667,25.0792553566,176.59,231.099922966
-6.17196371845,139.546666667,25.8810823559,152.59,233.621805017
-6.07396371845,161.546666667,26.722864955,193.59,236.291317328
-5.97606371845,149.546666667,27.605468354,169.59,239.120371607
-5.87806371845,169.546666667,28.5334995039,207.59,242.122459618
-5.78016371845,211.546666667,29.5081037044,188.59,245.312236356
-5.68226371845,216.546666667,30.5335052679,210.59,248.70625826
-5.58426371845,305.546666667,31.6144285426,226.59,252.323005697
-5.48636371845,271.546666667,32.7525865939,238.59,256.182875743
-5.38846371845,251.546666667,33.9533286692,241.59,260.3090572
-5.29046371845,231.546666667,35.2226597419,246.59,264.72767229
-5.19256371845,233.546666667,36.5631121668,286.59,269.467908571
-5.09466371845,218.546666667,37.9815610133,331.59,274.563224829
-4.99676371845,273.546666667,39.4841764969,292.59,280.051614433
-4.89876371845,250.546666667,41.0794279804,261.59,285.976686008
-4.80086371845,215.546666667,42.7715585034,296.59,292.388165211
-4.70296371845,258.546666667,44.5704284144,277.59,299.343982938
-4.60506371845,276.546666667,46.4852069511,263.59,306.911362864
-4.50716371845,277.546666667,48.5260694198,257.59,315.169017352
-4.40916371845,271.546666667,50.7066320318,331.59,324.210022677
-4.31126371845,329.546666667,53.0350715825,322.59,334.144630284
-4.21336371845,276.546666667,55.5276396686,322.59,345.106138387
-4.11546371845,332.546666667,58.2001307543,323.59,357.256740798
-4.01756371845,293.546666667,61.0702857621,381.59,370.796947308
-3.91966371845,329.546666667,64.1580871493,477.59,385.978843657
-3.82176371845,306.546666667,67.4861075158,570.59,403.125408692
-3.72386371845,291.546666667,71.0799231355,435.59,422.659017447
-3.62596371845,312.546666667,74.9686066052,411.59,445.143790583
-3.52806371845,262.546666667,79.1853163911,407.59,471.348635091
-3.43016371845,389.546666667,83.7680056809,465.59,502.340761273
-3.33226371845,358.546666667,88.7602789476,496.59,539.623263885
-3.23436371845,434.546666667,94.2124324749,550.59,585.334936195
-3.13646371845,433.546666667,100.18272541,740.59,642.535441382
-3.03866371845,361.546666667,106.731919971,1489.59,715.603211537
-2.94076371845,437.546666667,113.95257488,1644.59,810.780698932
-2.84286371845,415.546666667,121.931389278,1000.59,936.879287517
-2.74496371845,462.546666667,130.778316981,970.59,1106.14879798
-2.64706371845,446.546666667,140.623987034,1387.59,1335.25317436
-2.54926371845,444.546666667,151.612662727,1472.59,1646.18344296
-2.45136371845,531.546666667,163.954531386,1425.59,2066.7526927
-2.35346371845,486.546666667,177.866637951,1813.59,2629.93947716
-2.25556371845,585.546666667,193.627010986,2800.59,3370.99432142
-2.15776371845,578.546666667,211.558437866,4783.59,4321.23646764
-2.05986371845,707.546666667,232.122629515,6931.59,5498.0969666
-1.96196371845,703.546666667,255.836244348,6021.59,6892.6781594
-1.86416371845,769.546666667,283.346122611,6469.59,8459.33270305
-1.76626371845,820.546666667,315.577051577,8826.59,10114.8243301
-1.66846371845,991.546666667,353.591262007,10903.59,11751.6282885
-1.57056371845,1052.54666667,398.95729209,12464.59,13262.3825761
-1.47276371845,1085.54666667,453.579558511,15698.59,14565.4335244
-1.37486371845,1113.54666667,520.302127525,19602.59,15619.5897862
-1.27696371845,1174.54666667,602.889300074,21186.59,16423.8091572
-1.17916371845,1313.54666667,706.672687546,18396.59,17005.9581707
-1.08136371845,1392.54666667,839.706756713,15802.59,17408.5324827
-0.983463718453,1588.54666667,1014.29010439,15316.59,17677.0271371
-0.885663718453,1817.54666667,1249.12113883,16468.59,17852.8387385
-0.787763718453,2063.54666667,1576.10739599,18055.59,17970.5826906
-0.689963718453,2425.54666667,2049.18991695,18486.59,18058.1272343
-0.592063718453,2824.54666667,2771.17958383,18671.59,18139.253644
-0.494263718453,3689.54666667,3946.84496955,18497.59,18238.7247821
-0.396463718454,5616.54666667,6041.17288284,17416.59,18395.7482911
-0.298563718452,9967.54666667,10230.3095087,18930.59,18700.9656478
-0.200763718453,20283.5466667,19422.6813234,19081.59,19379.646279
-0.102963718453,36368.5466667,36650.9336912,19142.59,20659.3933093
-0.00516371845312,48898.5466667,49468.2354453,22240.59,21492.5029776
0.0927362815473,39929.5466667,38656.6760776,21497.59,20268.8367562
0.190536281547,20230.5466667,20853.4453525,17982.59,18306.5742996
0.288336281546,9250.54666667,10884.4392446,16576.59,16775.2918694
0.386136281546,5300.54666667,6352.59854698,14654.59,15444.8708551
0.483936281547,3889.54666667,4112.52714743,12129.59,14047.6991457
0.581736281548,3050.54666667,2868.7515375,10545.59,12504.4725228
0.679636281547,2728.54666667,2111.19553529,9985.59,10841.9862846
0.777436281546,2446.54666667,1617.88994516,9388.59,9143.08735612
0.875236281546,2218.54666667,1278.85984613,8101.59,7509.54093079
0.973036281547,2034.54666667,1036.02816332,6960.59,6030.45725008
1.07083628155,1761.54666667,856.225571047,6591.59,4762.24770997
1.16863628155,1471.54666667,719.415259016,5710.59,3724.16680717
1.26643628155,1401.54666667,612.923154539,3480.59,2905.6142778
1.36423628155,1290.54666667,528.418551524,2486.59,2278.20130223
1.46203628155,1191.54666667,460.244815525,2697.59,1806.78476908
1.55983628155,1222.54666667,404.452621783,1657.59,1456.91119035
1.65763628155,1056.54666667,358.217370548,975.59,1198.64798021
1.75533628155,1049.54666667,319.512189376,850.59,1007.85093596
1.85313628155,956.546666667,286.72360626,843.59,865.965756276
1.95093628155,938.546666667,258.732911662,957.59,759.224554453
2.04873628155,865.546666667,234.648062998,998.59,677.651080743
2.14653628155,789.546666667,213.775019216,1009.59,614.139424226
2.24433628155,742.546666667,195.567268595,998.59,563.681848301
2.34203628155,678.546666667,179.605071266,878.59,522.771668514
2.43983628155,600.546666667,165.506205557,800.59,488.951872349
2.53763628155,599.546666667,153.004187509,600.59,460.500203291
2.63543628155,569.546666667,141.8667224,579.59,436.195765378
2.73313628155,516.546666667,131.911906359,616.59,415.163068656
2.83093628155,459.546666667,122.960394385,927.59,396.760666208
2.92873628155,506.546666667,114.889912387,1192.59,380.51306638
3.02643628155,492.546666667,107.5956506,1655.59,366.058706064
3.12423628155,399.546666667,100.968053524,1152.59,353.115333467
3.22203628155,435.546666667,94.9343890579,605.59,341.461245598
3.31973628155,429.546666667,89.431148524,485.59,330.917879079
3.41753628155,456.546666667,84.3879242528,567.59,321.338005522
3.51523628155,382.546666667,79.7640574058,495.59,312.601334453
3.61303628155,412.546666667,75.5058453948,348.59,304.605669692
3.71073628155,395.546666667,71.5835561086,314.59,297.266013441
3.80853628155,365.546666667,67.9555398366,280.59,290.508677733
3.90623628155,372.546666667,64.5997860982,349.59,284.27161054
4.00403628155,421.546666667,61.4835060067,458.59,278.500146512
4.10173628155,322.546666667,58.590233516,676.59,273.147838549
4.19953628155,370.546666667,55.8938046808,526.59,268.173217417
4.29723628155,322.546666667,53.3817914103,352.59,263.540813517
4.39493628155,318.546666667,51.0353809616,279.59,259.218777117
4.49273628155,335.546666667,48.8381579887,267.59,255.178997004
4.59043628155,289.546666667,46.7818625012,255.59,251.397069676
4.68813628155,312.546666667,44.8527441006,224.59,247.850762313
4.78593628155,257.546666667,43.0387299727,217.59,244.520254357
4.88363628155,296.546666667,41.3342647125,207.59,241.3882367
4.98133628155,252.546666667,39.7290771022,235.59,238.438739626
